ID;DateTime;Length;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;Fingerprint
80;54:16.0;29788;0;3.36;4.62;4.64;4.57;4.64;4.62;4.6;4.66;4.68;4.62;4.59;4.65;4.68;4.6;4.64;4.68;4.63;4.63;4.58;4.63;4.63;4.62;0;1;1;1;1;1;1;018ea39cd18b839115804e11382fb86977
81;56:16.0;30448;0;3.42;4.62;4.59;4.55;4.66;4.63;4.62;4.65;4.68;4.6;4.59;4.65;4.67;4.59;4.63;4.66;4.61;4.66;4.62;4.66;4.68;4.7;0;1;1;1;1;1;1;0148e93d9842e518988010a419c902492b
82;58:16.0;31108;0;3.38;4.65;4.68;4.62;4.66;4.66;4.6;4.64;4.67;4.58;4.58;4.66;4.7;4.6;4.61;4.61;4.56;4.59;4.57;4.67;4.66;4.66;0;1;1;1;1;1;1;013101ae535d2f75905b8d16f6a2c6e385
83;00:16.0;31768;0;3.38;4.62;4.67;4.65;4.72;4.66;4.61;4.65;4.66;4.57;4.55;4.62;4.67;4.58;4.62;4.69;4.6;4.63;4.59;4.66;4.65;4.64;0;1;1;1;1;1;1;01710802fa916e00d28056d9a29b53527c
84;02:16.0;32428;0;3.4;4.67;4.68;4.67;4.68;4.61;4.59;4.66;4.69;4.58;4.59;4.67;4.67;4.58;4.63;4.67;4.63;4.64;4.62;4.68;4.64;4.63;0;1;1;1;1;1;1;013159eb82ff001f4d859a5689d4abb6df
85;04:16.0;33088;0;3.38;4.66;4.63;4.61;4.63;4.6;4.54;4.56;4.59;4.5;4.52;4.63;4.63;4.6;4.65;4.7;4.65;4.65;4.6;4.66;4.64;4.64;0;1;1;1;1;1;1;01018fd5bd955869c19efffce0bf49b66a
86;06:16.0;33753;0;3.4;4.62;4.58;4.6;4.63;4.64;4.61;4.66;4.7;4.6;4.6;4.71;4.68;4.6;4.63;4.68;4.64;4.62;4.57;4.67;4.64;4.66;0;1;1;1;1;1;1;01bb4f1fac83f05ff8ff9587471799c729
87;08:16.0;34408;0;3.36;4.64;4.6;4.59;4.63;4.64;4.64;4.71;4.73;4.61;4.61;4.66;4.71;4.68;4.68;4.67;4.64;4.65;4.59;4.66;4.62;4.6;0;1;1;1;1;1;1;01ccf8e5f316f09a0f2f674219d9daa6a7
88;10:16.0;35068;0;3.37;4.65;4.61;4.61;4.63;4.62;4.59;4.62;4.65;4.55;4.57;4.63;4.63;4.58;4.65;4.67;4.64;4.64;4.59;4.66;4.61;4.61;0;1;1;1;1;1;1;01beafdd0b17ec8a49fbc70a5fbda40073
89;12:16.0;35728;0;3.39;4.68;4.67;4.64;4.63;4.62;4.57;4.6;4.66;4.59;4.6;4.64;4.66;4.62;4.63;4.67;4.65;4.62;4.57;4.62;4.61;4.64;0;1;1;1;1;1;1;019d6980489b2ef4db3534168ef3218f75
90;14:16.0;36388;0;3.37;4.67;4.65;4.64;4.66;4.66;4.61;4.65;4.7;4.61;4.6;4.64;4.67;4.62;4.63;4.65;4.6;4.57;4.56;4.67;4.64;4.64;0;1;1;1;1;1;1;0119ef6fdf9475a15a7266ba0f99775935
91;59:44.0;744;0;2.3;4.1;4.15;4.15;4.13;4.22;4.2;4.25;4.06;3.77;0;3.77;3.98;4.12;4.15;4.32;4.23;4.2;4.24;4.36;4.15;3.78;0;1;1;1;1;1;1;01dd2dcce31920668fb47c5a50dc6d8a95
92;30:28.0;717;0;3.21;4.74;4.64;4.64;4.59;4.66;4.55;4.6;4.6;4.68;4.64;4.69;4.63;4.67;4.6;4.68;4.63;4.65;4.58;4.68;4.65;4.58;0;1;1;1;1;1;1;01c6bf021bc92d7d212e1777d36432fa0a
93;32:28.0;1377;0;3.22;4.82;4.58;4.68;4.67;4.59;4.57;4.69;4.63;4.62;4.65;4.67;4.64;4.67;4.6;4.66;4.61;4.64;4.59;4.67;4.68;4.64;0;1;1;1;1;1;1;01fb75fe56d95f66be2efa38ad7fcf8078
94;34:28.0;2042;0;3.03;4.84;4.57;4.52;4.53;4.58;4.65;4.7;4.61;4.68;4.66;4.64;4.65;4.65;4.59;4.65;4.63;4.62;4.61;4.66;4.67;4.61;0;1;1;1;1;1;1;015ce3e4fd87a6213a6c18b9a70b04d1eb
95;36:28.0;2696;0;3.11;4.8;4.58;4.56;4.61;4.63;4.63;4.7;4.44;4.66;4.66;4.63;4.62;4.66;4.62;4.66;4.65;4.69;4.63;4.67;4.66;4.57;0;1;1;1;1;1;1;019ba1287ce7f6cfdeda54fd8b8bb1d2b4
96;38:28.0;3362;0;3.16;4.81;4.67;4.59;4.6;4.61;4.64;4.68;4.53;4.65;4.65;4.6;4.62;4.65;4.6;4.66;4.62;4.62;4.59;4.65;4.66;4.61;0;1;1;1;1;1;1;01cb55e88c2fe329585eac2909372ff0ec
97;40:28.0;4050;0;3.19;4.79;4.68;4.57;4.61;4.58;4.6;4.65;4.57;4.63;4.67;4.64;4.65;4.65;4.62;4.68;4.64;4.66;4.61;4.67;4.67;4.63;0;1;1;1;1;1;1;012e3963595ece32c810982d05bb93c0e6
